Property type,Listing type,Locality,Number of rooms,Area,Price,Negotiable price,Per Square Meter,Latitude,Longitude
Maison,Old Property,Lille_Sud,4,93,192000,No,2064.516129,50.609095,3.040395
Maison,Old Property,Saint_Maurice_Pellevoisin,4,117,325500,No,2782.051282,50.644111,3.087731
Appartement,Old Property,Bourg_Délivrance,4,65,277500,Yes,4269.230769,50.645721,2.984393
Appartement,Old Property,Lille_Sud,4,61,214025.5,Yes,3508.614754,50.609095,3.040395
Appartement,Old Property,Lille_Sud,4,83,257000,Yes,3096.385542,50.609095,3.040395
VILLA,Old Property,Centre_ville_Euralille,5,183,535000,Yes,2923.497268,50.634672,3.071724
Appartement,Old Property,Moulins,3,72,240000,Yes,3333.333333,50.618989,3.066337
Appartement,Old Property,Fives,2,45,161000,Yes,3577.777778,50.628545,3.090331
Appartement,Old Property,Sud_Marais,3,54,223000,Yes,4129.62963,50.628596,3.004442
Appartement,Old Property,Centre_ville_Euralille,5,106,339000,No,3198.113208,50.634672,3.071724
Appartement,Old Property,Vauban_Esquermes,4,77,299000,No,3883.116883,50.63005,3.042561
Appartement,Old Property,Vauban_Esquermes,4,77,299000,No,3883.116883,50.63005,3.042561
Appartement,Old Property,Sud_Marais,3,72,180000,No,2500,50.628596,3.004442
Maison,Old Property,Fives,5,105,240000,No,2285.714286,50.628545,3.090331
Appartement,Old Property,Saint_Maurice_Pellevoisin,2,52,199000,No,3826.923077,50.644111,3.087731
Appartement,Old Property,Centre_ville_Euralille,4,76,365000,No,4802.631579,50.634672,3.071724
Appartement,Old Property,Sud_Marais,4,90,285150,No,3168.333333,50.628596,3.004442
Appartement,Old Property,Wazemmes,3,56,224000,No,4000,50.62383,3.047664
Appartement,Old Property,Centre_ville_Euralille,4,90,269475,No,2994.166667,50.634672,3.071724
Appartement,Old Property,Moulins,3,66,185000,No,2803.030303,50.618989,3.066337
Maison,Old Property,Saint_Maurice_Pellevoisin,9,160,564500,No,3528.125,50.644111,3.087731
Appartement,Old Property,Vieux_Lille,3,62,124740,No,2011.935484,50.642801,3.059485
Maison,Old Property,Bourg_Délivrance,4,101,207750,No,2056.930693,50.645721,2.984393
Appartement,Old Property,Wazemmes,3,60,187620,No,3127,50.62383,3.047664
Appartement,Old Property,Fives,4,89,229500,No,2578.651685,50.628545,3.090331
Studio,Old Property,Fives,1,29,177500,No,6120.689655,50.628545,3.090331
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,80,259500,No,3243.75,50.644111,3.087731
Maison,Old Property,Vauban_Esquermes,4,93,241850,No,2600.537634,50.63005,3.042561
Appartement,Old Property,Vauban_Esquermes,7,204,591928,No,2901.607843,50.63005,3.042561
Maison,Old Property,Fives,4,90,116150,No,1290.555556,50.628545,3.090331
Maison,Old Property,Vauban_Esquermes,4,85,240200,No,2825.882353,50.63005,3.042561
Appartement,Old Property,Vauban_Esquermes,3,61,240235,No,3938.278689,50.63005,3.042561
Appartement,Old Property,Centre_ville_Euralille,1,25,171000,No,6840,50.634672,3.071724
Appartement,Old Property,Centre_ville_Euralille,3,98,440000,No,4489.795918,50.634672,3.071724
Appartement,Old Property,Saint_Maurice_Pellevoisin,3,63,230000,No,3650.793651,50.644111,3.087731
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,80,259500,No,3243.75,50.644111,3.087731
Appartement,Old Property,Centre_ville_Euralille,3,83,325000,No,3915.662651,50.634672,3.071724
Appartement,Old Property,Faubourg_de_Béthune,3,68,189500,No,2786.764706,50.616859,3.031243
Appartement,Old Property,Hellemmes_,3,76,215000,No,2828.947368,50.629241,3.110993
Appartement,Old Property,Wazemmes,1,20,99500,No,4975,50.62383,3.047664
Appartement,Old Property,Moulins,2,44,183570,No,4172.045455,50.618989,3.066337
Appartement,Old Property,Vieux_Lille,2,52,236063,No,4539.673077,50.642801,3.059485
Maison,Old Property,Lille_Sud,5,100,295000,No,2950,50.609095,3.040395
Appartement,Old Property,Vieux_Lille,2,30,185000,No,6166.666667,50.642801,3.059485
Maison,Old Property,Lille_Sud,7,200,584000,No,2920,50.609095,3.040395
Maison,Old Property,Bois_Blanc,9,237,661350,No,2790.506329,50.630383,3.026585
Maison,Old Property,Bourg_Délivrance,6,227,589000,No,2594.713656,50.645721,2.984393
Appartement,Old Property,Saint_Maurice_Pellevoisin,2,47,194069,No,4129.12766,50.644111,3.087731
Appartement,Old Property,Saint_Maurice_Pellevoisin,3,84,265000,No,3154.761905,50.644111,3.087731
Appartement,Old Property,Fives,2,45,113800,No,2528.888889,50.628545,3.090331
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,119,399990,No,3361.260504,50.644111,3.087731
Appartement,Old Property,Centre_ville_Euralille,4,100,443500,No,4435,50.634672,3.071724
Maison,Old Property,Moulins,3,42,118500,No,2821.428571,50.618989,3.066337
Appartement,Old Property,Saint_Maurice_Pellevoisin,3,95,340000,No,3578.947368,50.644111,3.087731
Appartement,Old Property,Wazemmes,2,35,125465,No,3584.714286,50.62383,3.047664
Appartement,Old Property,Moulins,1,21,76200,No,3628.571429,50.618989,3.066337
Appartement,Old Property,Moulins,2,56,195000,No,3482.142857,50.618989,3.066337
Appartement,Old Property,Centre_ville_Euralille,3,90,450000,No,5000,50.634672,3.071724
Appartement,Old Property,Saint_Maurice_Pellevoisin,2,43,150000,No,3488.372093,50.644111,3.087731
Maison,Old Property,Wazemmes,5,147,599000,No,4074.829932,50.62383,3.047664
Appartement,Old Property,Mont_à_Camp_Marais,3,62,262310,No,4230.806452,50.640847,3.010152
Maison,Old Property,Fives,4,180,680000,No,3777.777778,50.628545,3.090331
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,85,261000,No,3070.588235,50.644111,3.087731
Maison,Old Property,Mitterie,7,260,797000,No,3065.384615,50.650932,2.993831
Appartement,Old Property,Fives,1,82,162000,No,1975.609756,50.628545,3.090331
Appartement,Old Property,Fives,1,150,205000,No,1366.666667,50.628545,3.090331
Appartement,Old Property,Centre_ville_Euralille,3,73,220000,No,3013.69863,50.634672,3.071724
Appartement,Old Property,Vauban_Esquermes,3,82,299000,No,3646.341463,50.63005,3.042561
Maison,Old Property,Wazemmes,8,200,567300,No,2836.5,50.62383,3.047664
Appartement,Old Property,Saint_Maurice_Pellevoisin,3,65,238500,No,3669.230769,50.644111,3.087731
Appartement,Old Property,Moulins,2,39,113900,No,2920.512821,50.618989,3.066337
Appartement,Old Property,Faubourg_de_Béthune,1,19,52000,No,2736.842105,50.616859,3.031243
Appartement,Old Property,Centre_ville_Euralille,2,49,189000,No,3857.142857,50.634672,3.071724
Appartement,Old Property,Centre_ville_Euralille,4,136,483000,No,3551.470588,50.634672,3.071724
Maison,Old Property,Lille_Sud,4,93,192000,No,2064.516129,50.609095,3.040395
Appartement,Old Property,Mont_à_Camp_Marais,2,43,162481,No,3778.627907,50.640847,3.010152
VILLA,Old Property,Vauban_Esquermes,5,105,380000,No,3619.047619,50.63005,3.042561
Appartement,Old Property,Mitterie,2,40,107000,No,2675,50.650932,2.993831
Appartement,Old Property,Vauban_Esquermes,4,77,299000,No,3883.116883,50.63005,3.042561
Appartement,Old Property,Saint_Maurice_Pellevoisin,3,64,190000,No,2968.75,50.644111,3.087731
Maison,Old Property,Fives,1,113,180000,No,1592.920354,50.628545,3.090331
VILLA,Old Property,Vieux_Lille,4,101,483000,No,4782.178218,50.642801,3.059485
Appartement,Old Property,Moulins,4,83,185500,No,2234.939759,50.618989,3.066337
Studio,Old Property,Wazemmes,1,17,97000,No,5705.882353,50.62383,3.047664
Appartement,Old Property,Lille_Sud,3,66,233500,No,3537.878788,50.609095,3.040395
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,99,275000,No,2777.777778,50.644111,3.087731
Maison,Old Property,Saint_Maurice_Pellevoisin,4,117,325500,No,2782.051282,50.644111,3.087731
