category,address,price
"Maison 4 pièces 93 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),192 000 €
"Maison 4 pièces 117 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),325 500 €
"VILL'ARBOREA (appartements neufs 1 à 5 pièces)
Lille 59160 (Bourg - Délivrance)",Lille 59160 (Bourg - Délivrance),170 000 à 385 000 €
"LILLE VILLA ULMA (appartements neufs 1 à 3 pièces)
Lomme 59160",Lomme 59160,176 400 à 316 320 €
"EDENIUM (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),111 051 à 317 000 €
"PARENTHESE VERTE (appartements neufs 1 à 4 pièces)
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),167 000 à 347 000 €
"LES VILLAS DE LA VISSERIE (3 à 5 pièces)
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),390 000 à 680 000 €
"PAVILLON DU JARDIN DES PLANTES (appartements neufs 3 pièces)
Lille 59000 (Moulins)",Lille 59000 (Moulins),233 500 à 246 500 €
"L'INTERLUDE (appartements neufs 1 à 3 pièces)
Lille 59000 (Fives)",Lille 59000 (Fives),119 000 à 203 000 €
"LES JARDINS BO'TANIC (appartements neufs 2 à 3 pièces)
Lomme 59160 (Sud Marais)",Lomme 59160 (Sud Marais),198 000 à 248 000 €
"Appartement 5 pièces 106 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),339 000 €
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",Lille 59800 (Vauban - Esquermes),299 000 €
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",Lille 59800 (Vauban - Esquermes),299 000 €
"Appartement 3 pièces 72 m²
Lomme 59160 (Sud Marais)",Lomme 59160 (Sud Marais),180 000 €
"Maison 5 pièces 105 m²
Lille 59800 (Fives)",Lille 59800 (Fives),240 000 €
"Appartement 2 pièces 52 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),199 000 €
"Appartement 4 pièces 76 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),365 000 €
"Appartement 4 pièces 90 m²
Lille 59160 (Sud Marais)",Lille 59160 (Sud Marais),285 150 €
"Appartement 3 pièces 56 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),224 000 €
"Appartement 4 pièces 90 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),269 475 €
"Appartement 3 pièces 66 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),185 000 €
"Maison 9 pièces 160 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),564 500 €
"Appartement 3 pièces 62 m²
Lille 59800 (Vieux Lille)",Lille 59800 (Vieux Lille),124 740 €
"Maison 4 pièces 101 m²
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),207 750 €
"Appartement 3 pièces 60 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),87 620 €
"Appartement 4 pièces 89 m²
Lille 59800 (Fives)",Lille 59800 (Fives),229 500 €
"Studio 29 m²
Lille 59000 (Fives)",Lille 59000 (Fives),177 500 €
"Appartement 4 pièces 80 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),259 500 €
"Maison 4 pièces 93 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),41 850 €
"Appartement 7 pièces 204 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),91 928 €
"Maison 4 pièces 90 m²
Hellemmes-Lille 59260 (Fives)",Hellemmes-Lille 59260 (Fives),116 150 €
"Maison 4 pièces 85 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),40 200 €
"Appartement 3 pièces 61 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),40 235 €
